x	y	z	annotation	gray
8.45966068168531	17.790445206224597	1	CNS	[255  88   0]
8.45966068168531	18.790445206224597	1	CNS	[255  88   0]
8.45966068168531	19.790445206224597	1	epidermis	[255 177   0]
8.45966068168531	20.790445206224597	1	CNS	[255  88   0]
8.45966068168531	21.790445206224597	1	CNS	[255  88   0]
8.45966068168531	22.790445206224597	1	epidermis	[255 177   0]
8.45966068168531	23.790445206224597	1	CNS	[255  88   0]
8.45966068168531	24.790445206224597	1	CNS	[255  88   0]
8.45966068168531	25.790445206224597	1	CNS	[255  88   0]
8.45966068168531	26.790445206224597	1	epidermis	[255 177   0]
9.45966068168531	16.790445206224597	1	epidermis	[255 177   0]
9.45966068168531	17.790445206224597	1	CNS	[255  88   0]
9.45966068168531	18.790445206224597	1	epidermis	[255 177   0]
9.45966068168531	19.790445206224597	1	CNS	[255  88   0]
9.45966068168531	20.790445206224597	1	epidermis	[255 177   0]
9.45966068168531	21.790445206224597	1	epidermis	[255 177   0]
9.45966068168531	22.790445206224597	1	epidermis	[255 177   0]
9.45966068168531	23.790445206224597	1	CNS	[255  88   0]
9.45966068168531	24.790445206224597	1	epidermis	[255 177   0]
9.45966068168531	25.790445206224597	1	epidermis	[255 177   0]
9.45966068168531	26.790445206224597	1	epidermis	[255 177   0]
9.45966068168531	27.790445206224597	1	epidermis	[255 177   0]
9.45966068168531	28.790445206224597	1	epidermis	[255 177   0]
10.45966068168531	15.790445206224597	1	epidermis	[255 177   0]
10.45966068168531	16.790445206224597	1	epidermis	[255 177   0]
10.45966068168531	17.790445206224597	1	CNS	[255  88   0]
10.45966068168531	18.790445206224597	1	epidermis	[255 177   0]
10.45966068168531	19.790445206224597	1	CNS	[255  88   0]
10.45966068168531	20.790445206224597	1	CNS	[255  88   0]
10.45966068168531	21.790445206224597	1	epidermis	[255 177   0]
10.45966068168531	22.790445206224597	1	epidermis	[255 177   0]
10.45966068168531	23.790445206224597	1	CNS	[255  88   0]
10.45966068168531	24.790445206224597	1	CNS	[255  88   0]
10.45966068168531	25.790445206224597	1	CNS	[255  88   0]
10.45966068168531	26.790445206224597	1	carcass	[244 255   0]
10.45966068168531	27.790445206224597	1	CNS	[255  88   0]
10.45966068168531	28.790445206224597	1	epidermis	[255 177   0]
10.45966068168531	29.790445206224597	1	epidermis	[255 177   0]
10.45966068168531	30.790445206224597	1	epidermis	[255 177   0]
11.45966068168531	14.790445206224597	1	CNS	[255  88   0]
11.45966068168531	15.790445206224597	1	epidermis	[255 177   0]
11.45966068168531	16.790445206224597	1	epidermis	[255 177   0]
11.45966068168531	17.790445206224597	1	epidermis	[255 177   0]
11.45966068168531	18.790445206224597	1	epidermis	[255 177   0]
11.45966068168531	19.790445206224597	1	epidermis	[255 177   0]
11.45966068168531	20.790445206224597	1	epidermis	[255 177   0]
11.45966068168531	21.790445206224597	1	epidermis	[255 177   0]
11.45966068168531	22.790445206224597	1	epidermis	[255 177   0]
11.45966068168531	23.790445206224597	1	epidermis	[255 177   0]
11.45966068168531	24.790445206224597	1	epidermis	[255 177   0]
11.45966068168531	25.790445206224597	1	epidermis	[255 177   0]
11.45966068168531	26.790445206224597	1	epidermis	[255 177   0]
11.45966068168531	27.790445206224597	1	epidermis	[255 177   0]
11.45966068168531	28.790445206224597	1	epidermis	[255 177   0]
11.45966068168531	29.790445206224597	1	epidermis	[255 177   0]
11.45966068168531	30.790445206224597	1	epidermis	[255 177   0]
11.45966068168531	31.790445206224597	1	CNS	[255  88   0]
12.45966068168531	13.790445206224597	1	epidermis	[255 177   0]
12.45966068168531	14.790445206224597	1	CNS	[255  88   0]
12.45966068168531	15.790445206224597	1	epidermis	[255 177   0]
12.45966068168531	16.790445206224597	1	epidermis	[255 177   0]
12.45966068168531	17.790445206224597	1	trachea	[155 255   0]
12.45966068168531	18.790445206224597	1	epidermis	[255 177   0]
12.45966068168531	19.790445206224597	1	epidermis	[255 177   0]
12.45966068168531	20.790445206224597	1	epidermis	[255 177   0]
12.45966068168531	21.790445206224597	1	epidermis	[255 177   0]
12.45966068168531	22.790445206224597	1	epidermis	[255 177   0]
12.45966068168531	23.790445206224597	1	epidermis	[255 177   0]
12.45966068168531	24.790445206224597	1	epidermis	[255 177   0]
12.45966068168531	25.790445206224597	1	CNS	[255  88   0]
12.45966068168531	26.790445206224597	1	epidermis	[255 177   0]
12.45966068168531	27.790445206224597	1	CNS	[255  88   0]
12.45966068168531	28.790445206224597	1	epidermis	[255 177   0]
12.45966068168531	29.790445206224597	1	epidermis	[255 177   0]
12.45966068168531	30.790445206224597	1	carcass	[244 255   0]
12.45966068168531	31.790445206224597	1	CNS	[255  88   0]
12.45966068168531	32.7904452062246	1	epidermis	[255 177   0]
13.45966068168531	13.790445206224597	1	epidermis	[255 177   0]
13.45966068168531	14.790445206224597	1	epidermis	[255 177   0]
13.45966068168531	15.790445206224597	1	CNS	[255  88   0]
13.45966068168531	16.790445206224597	1	epidermis	[255 177   0]
13.45966068168531	17.790445206224597	1	epidermis	[255 177   0]
13.45966068168531	18.790445206224597	1	epidermis	[255 177   0]
13.45966068168531	19.790445206224597	1	epidermis	[255 177   0]
13.45966068168531	20.790445206224597	1	epidermis	[255 177   0]
13.45966068168531	21.790445206224597	1	epidermis	[255 177   0]
13.45966068168531	22.790445206224597	1	epidermis	[255 177   0]
13.45966068168531	23.790445206224597	1	epidermis	[255 177   0]
13.45966068168531	24.790445206224597	1	epidermis	[255 177   0]
13.45966068168531	25.790445206224597	1	trachea	[155 255   0]
